Time [s],HSYNC,VSYNC,INTENSITY,VIDEO
834235833,0,1,0,0
834281833,1,1,0,0
834288833,0,1,0,0
834335833,1,1,0,0
834342833,0,1,0,0
834389792,1,1,0,0
834396833,0,1,0,0
834443792,1,1,0,0
834450792,0,1,0,0
834497792,1,1,0,0
834504792,0,1,0,0
834551792,1,1,0,0
834558792,0,1,0,0
834560333,0,1,0,1
834562958,0,1,0,0
834563042,0,1,0,1
834563083,0,1,0,0
834563125,0,1,0,1
834563208,0,1,0,0
834563250,0,1,0,1
834563333,0,1,0,0
834563375,0,1,0,1
834563458,0,1,0,0
834563500,0,1,0,1
834563583,0,1,0,0
834563625,0,1,0,1
834563708,0,1,0,0
834563750,0,1,0,1
834563833,0,1,0,0
834563875,0,1,0,1
834563958,0,1,0,0
834564000,0,1,0,1
834564083,0,1,0,0
834564125,0,1,0,1
834564208,0,1,0,0
834564250,0,1,0,1
834564333,0,1,0,0
834564375,0,1,0,1
834564458,0,1,0,0
834564500,0,1,0,1
834564583,0,1,0,0
834564625,0,1,0,1
834564708,0,1,0,0
834564750,0,1,0,1
834564833,0,1,0,0
834564875,0,1,0,1
834564958,0,1,0,0
834565000,0,1,0,1
834565083,0,1,0,0
834565125,0,1,0,1
834565208,0,1,0,0
834565250,0,1,0,1
834565333,0,1,0,0
834565375,0,1,0,1
834565458,0,1,0,0
834565500,0,1,0,1
834565583,0,1,0,0
834565625,0,1,0,1
834565708,0,1,0,0
834565750,0,1,0,1
834565833,0,1,0,0
834565875,0,1,0,1
834565958,0,1,0,0
834566000,0,1,0,1
834566083,0,1,0,0
834566125,0,1,0,1
834566208,0,1,0,0
834566250,0,1,0,1
834566333,0,1,0,0
834566375,0,1,0,1
834566458,0,1,0,0
834566500,0,1,0,1
834566583,0,1,0,0
834566625,0,1,0,1
834566708,0,1,0,0
834566750,0,1,0,1
834566833,0,1,0,0
834566875,0,1,0,1
834566958,0,1,0,0
834567000,0,1,0,1
834567083,0,1,0,0
834567125,0,1,0,1
834567208,0,1,0,0
834567250,0,1,0,1
834567333,0,1,0,0
834567375,0,1,0,1
834567458,0,1,0,0
834567500,0,1,0,1
834567583,0,1,0,0
834567625,0,1,0,1
834567708,0,1,0,0
834567750,0,1,0,1
834567833,0,1,0,0
834567875,0,1,0,1
834567958,0,1,0,0
834568000,0,1,0,1
834568083,0,1,0,0
834568125,0,1,0,1
834568208,0,1,0,0
834568250,0,1,0,1
834568333,0,1,0,0
834568375,0,1,0,1
834568458,0,1,0,0
834568500,0,1,0,1
834568583,0,1,0,0
834568625,0,1,0,1
834568708,0,1,0,0
