Time [s],HSYNC,VSYNC,INTENSITY,VIDEO
461836583,0,1,0,0
461882708,1,1,0,0
461891167,0,1,0,0
461937833,1,1,0,0
461946250,0,1,0,0
461992958,1,1,0,0
462001375,0,1,0,0
462048042,1,1,0,0
462056500,0,1,0,0
462058708,0,1,0,1
462062667,0,1,0,0
462064333,0,1,0,1
462068292,0,1,0,0
462069958,0,1,0,1
462073917,0,1,0,0
462075583,0,1,0,1
462079542,0,1,0,0
462103167,1,1,0,0
462111625,0,1,0,0
462113833,0,1,0,1
462117792,0,1,0,0
462119458,0,1,0,1
462123417,0,1,0,0
462125083,0,1,0,1
462129042,0,1,0,0
462130708,0,1,0,1
462134667,0,1,0,0
462158292,1,1,0,0
462166750,0,1,0,0
462168083,0,1,1,1
462168167,0,1,0,0
462168958,0,1,0,1
462169042,0,1,0,0
462169458,0,1,0,1
462169583,0,1,0,0
462169917,0,1,0,1
462170167,0,1,0,0
462170458,0,1,0,1
462171333,0,1,0,0
462171583,0,1,0,1
462172042,0,1,0,0
462172083,0,1,0,1
462172458,0,1,0,0
462172708,0,1,0,1
462172917,0,1,0,0
462173667,0,1,1,1
462173917,0,1,0,0
462174583,0,1,0,1
462178542,0,1,0,0
462179167,0,1,1,1
462179583,0,1,0,0
462179833,0,1,1,1
462180042,0,1,0,0
462180208,0,1,0,1
462180417,0,1,0,0
462180667,0,1,0,1
462181958,0,1,0,0
462182292,0,1,0,1
462182708,0,1,0,0
462182792,0,1,0,1
462183833,0,1,0,0
462183917,0,1,0,1
462184167,0,1,0,0
462184792,0,1,1,1
462185208,0,1,0,0
462185417,0,1,1,1
462185708,0,1,0,0
462185833,0,1,0,1
462185917,0,1,0,0
462186292,0,1,0,1
462187583,0,1,0,0
462187958,0,1,0,1
462189458,0,1,0,0
462189542,0,1,0,1
462189792,0,1,0,0
462213417,1,1,0,0
462221875,0,1,0,0
462223125,0,1,1,1
462223333,0,1,0,0
462224083,0,1,0,1
462224208,0,1,0,0
462224333,0,1,0,1
462224458,0,1,0,0
462224583,0,1,0,1
462224792,0,1,0,0
462224875,0,1,0,1
462224958,0,1,0,0
