Time [s],HSYNC,VSYNC,INTENSITY,VIDEO
418902042,0,1,0,0
418948042,1,1,0,0
418955042,0,1,0,0
419002000,1,1,0,0
419009042,0,1,0,0
419056000,1,1,0,0
419063000,0,1,0,0
419110000,1,1,0,0
419117000,0,1,0,0
419164000,1,1,0,0
419171000,0,1,0,0
419218000,1,1,0,0
419225000,0,1,0,0
419226542,0,1,0,1
419226583,0,1,0,0
419226792,0,1,0,1
419226833,0,1,0,0
419227042,0,1,0,1
419227083,0,1,0,0
419227292,0,1,0,1
419227333,0,1,0,0
419227542,0,1,0,1
419227583,0,1,0,0
419227792,0,1,0,1
419227833,0,1,0,0
419228042,0,1,0,1
419228083,0,1,0,0
419228292,0,1,0,1
419228333,0,1,0,0
419228542,0,1,0,1
419228583,0,1,0,0
419228792,0,1,0,1
419228833,0,1,0,0
419229042,0,1,0,1
419229083,0,1,0,0
419229292,0,1,0,1
419229333,0,1,0,0
419229542,0,1,0,1
419229583,0,1,0,0
419229792,0,1,0,1
419229833,0,1,0,0
419230042,0,1,0,1
419230083,0,1,0,0
419230292,0,1,0,1
419230333,0,1,0,0
419230542,0,1,0,1
419230583,0,1,0,0
419230792,0,1,0,1
419230833,0,1,0,0
419231042,0,1,0,1
419231083,0,1,0,0
419231292,0,1,0,1
419231333,0,1,0,0
419231542,0,1,0,1
419231583,0,1,0,0
419231792,0,1,0,1
419231833,0,1,0,0
419232042,0,1,0,1
419232083,0,1,0,0
419232292,0,1,0,1
419232333,0,1,0,0
419232542,0,1,0,1
419232583,0,1,0,0
419232792,0,1,0,1
419232833,0,1,0,0
419233042,0,1,0,1
419233083,0,1,0,0
419233292,0,1,0,1
419233333,0,1,0,0
419233542,0,1,0,1
419233583,0,1,0,0
419233792,0,1,0,1
419233833,0,1,0,0
419234042,0,1,0,1
419234083,0,1,0,0
419234292,0,1,0,1
419234333,0,1,0,0
419234542,0,1,0,1
419234583,0,1,0,0
419234792,0,1,0,1
419234833,0,1,0,0
419235042,0,1,0,1
419235083,0,1,0,0
419235292,0,1,0,1
419235333,0,1,0,0
419235542,0,1,0,1
419235583,0,1,0,0
419235792,0,1,0,1
419235833,0,1,0,0
419236042,0,1,0,1
419236083,0,1,0,0
419236292,0,1,0,1
419236333,0,1,0,0
419236542,0,1,0,1
419236583,0,1,0,0
419236792,0,1,0,1
419236833,0,1,0,0
419237042,0,1,0,1
419237083,0,1,0,0
419237292,0,1,0,1
419237333,0,1,0,0
419237542,0,1,0,1
419237583,0,1,0,0
419237792,0,1,0,1
419237833,0,1,0,0
419238042,0,1,0,1
419238083,0,1,0,0
419238292,0,1,0,1
419238333,0,1,0,0
419238542,0,1,0,1
419238583,0,1,0,0
419238792,0,1,0,1
419238833,0,1,0,0
419239042,0,1,0,1
419239083,0,1,0,0
419239292,0,1,0,1
419239333,0,1,0,0
419239542,0,1,0,1
419239583,0,1,0,0
419239792,0,1,0,1
419239833,0,1,0,0
419240042,0,1,0,1
419240083,0,1,0,0
419240292,0,1,0,1
419240333,0,1,0,0
419240542,0,1,0,1
419240583,0,1,0,0
419240792,0,1,0,1
419240833,0,1,0,0
419241042,0,1,0,1
419241083,0,1,0,0
419241292,0,1,0,1
419241333,0,1,0,0
419241542,0,1,0,1
419241583,0,1,0,0
419241792,0,1,0,1
419241833,0,1,0,0
419242042,0,1,0,1
419242083,0,1,0,0
419242292,0,1,0,1
419242333,0,1,0,0
419242542,0,1,0,1
419242583,0,1,0,0
419242792,0,1,0,1
419242833,0,1,0,0
419243042,0,1,0,1
419243083,0,1,0,0
419243292,0,1,0,1
419243333,0,1,0,0
419243542,0,1,0,1
419243583,0,1,0,0
419243792,0,1,0,1
419243833,0,1,0,0
419244042,0,1,0,1
419244083,0,1,0,0
419244292,0,1,0,1
419244333,0,1,0,0
419244542,0,1,0,1
419244583,0,1,0,0
419244792,0,1,0,1
419244833,0,1,0,0
419245042,0,1,0,1
419245083,0,1,0,0
419245292,0,1,0,1
419245333,0,1,0,0
419245542,0,1,0,1
419245583,0,1,0,0
419245792,0,1,0,1
419245833,0,1,0,0
419246042,0,1,0,1
419246083,0,1,0,0
419246292,0,1,0,1
419246333,0,1,0,0
419246542,0,1,0,1
419246583,0,1,0,0
419246792,0,1,0,1
419246833,0,1,0,0
419247042,0,1,0,1
419247083,0,1,0,0
419247292,0,1,0,1
419247333,0,1,0,0
419247542,0,1,0,1
419247583,0,1,0,0
419247792,0,1,0,1
419247833,0,1,0,0
419248042,0,1,0,1
419248083,0,1,0,0
419248292,0,1,0,1
419248333,0,1,0,0
419248542,0,1,0,1
419248583,0,1,0,0
419248792,0,1,0,1
419248833,0,1,0,0
419249042,0,1,0,1
419249083,0,1,0,0
419249292,0,1,0,1
419249333,0,1,0,0
419249542,0,1,0,1
419249583,0,1,0,0
419249792,0,1,0,1
419249833,0,1,0,0
419250042,0,1,0,1
419250083,0,1,0,0
419250292,0,1,0,1
419250333,0,1,0,0
419250542,0,1,0,1
419250583,0,1,0,0
419250792,0,1,0,1
419250833,0,1,0,0
419251042,0,1,0,1
419251083,0,1,0,0
419251292,0,1,0,1
419251333,0,1,0,0
419251542,0,1,0,1
419251583,0,1,0,0
419251792,0,1,0,1
419251833,0,1,0,0
419252042,0,1,0,1
419252083,0,1,0,0
419252292,0,1,0,1
419252333,0,1,0,0
419252542,0,1,0,1
419252583,0,1,0,0
419252792,0,1,0,1
419252833,0,1,0,0
419253042,0,1,0,1
419253083,0,1,0,0
419253292,0,1,0,1
419253333,0,1,0,0
419253542,0,1,0,1
419253583,0,1,0,0
419253792,0,1,0,1
419253833,0,1,0,0
419254042,0,1,0,1
419254083,0,1,0,0
419254292,0,1,0,1
419254333,0,1,0,0
419254542,0,1,0,1
419254583,0,1,0,0
419254792,0,1,0,1
419254833,0,1,0,0
419255042,0,1,0,1
419255083,0,1,0,0
419255292,0,1,0,1
419255333,0,1,0,0
419255542,0,1,0,1
419255583,0,1,0,0
419255792,0,1,0,1
419255833,0,1,0,0
419256042,0,1,0,1
419256083,0,1,0,0
419256292,0,1,0,1
419256333,0,1,0,0
419256542,0,1,0,1
419256583,0,1,0,0
419256792,0,1,0,1
419256833,0,1,0,0
419257042,0,1,0,1
419257083,0,1,0,0
419257292,0,1,0,1
419257333,0,1,0,0
419257542,0,1,0,1
419257583,0,1,0,0
419257792,0,1,0,1
419257833,0,1,0,0
419258042,0,1,0,1
419258083,0,1,0,0
419258292,0,1,0,1
419258333,0,1,0,0
419258542,0,1,0,1
419258583,0,1,0,0
419258792,0,1,0,1
419258833,0,1,0,0
419259042,0,1,0,1
419259083,0,1,0,0
419259292,0,1,0,1
419259333,0,1,0,0
419259542,0,1,0,1
419259583,0,1,0,0
419259792,0,1,0,1
419259833,0,1,0,0
419260042,0,1,0,1
419260083,0,1,0,0
419260292,0,1,0,1
419260333,0,1,0,0
419260542,0,1,0,1
419260583,0,1,0,0
419260792,0,1,0,1
419260833,0,1,0,0
419261042,0,1,0,1
419261083,0,1,0,0
419261292,0,1,0,1
419261333,0,1,0,0
419261542,0,1,0,1
419261583,0,1,0,0
419261792,0,1,0,1
419261833,0,1,0,0
419262042,0,1,0,1
419262083,0,1,0,0
419262292,0,1,0,1
419262333,0,1,0,0
419262542,0,1,0,1
419262583,0,1,0,0
419262792,0,1,0,1
419262833,0,1,0,0
419263042,0,1,0,1
419263083,0,1,0,0
419263292,0,1,0,1
419263333,0,1,0,0
419263542,0,1,0,1
419263583,0,1,0,0
419263792,0,1,0,1
419263833,0,1,0,0
419264042,0,1,0,1
419264083,0,1,0,0
419264292,0,1,0,1
419264333,0,1,0,0
419264542,0,1,0,1
419264583,0,1,0,0
419264792,0,1,0,1
419264833,0,1,0,0
419265042,0,1,0,1
419265083,0,1,0,0
419265292,0,1,0,1
419265333,0,1,0,0
419265542,0,1,0,1
419265583,0,1,0,0
419265792,0,1,0,1
419265833,0,1,0,0
419266042,0,1,0,1
419266083,0,1,0,0
419266292,0,1,0,1
419266333,0,1,0,0
419266542,0,1,0,1
419266583,0,1,0,0
419266792,0,1,0,1
419266833,0,1,0,0
419267042,0,1,0,1
419267083,0,1,0,0
419267292,0,1,0,1
419267333,0,1,0,0
419267542,0,1,0,1
419267583,0,1,0,0
419267792,0,1,0,1
419267833,0,1,0,0
419268042,0,1,0,1
419268083,0,1,0,0
419268292,0,1,0,1
419268333,0,1,0,0
419268542,0,1,0,1
419268583,0,1,0,0
419268792,0,1,0,1
419268833,0,1,0,0
419269042,0,1,0,1
419269083,0,1,0,0
419269292,0,1,0,1
419269333,0,1,0,0
419269542,0,1,0,1
419269583,0,1,0,0
419269792,0,1,0,1
419269833,0,1,0,0
419270042,0,1,0,1
419270083,0,1,0,0
419270292,0,1,0,1
419270333,0,1,0,0
419270542,0,1,0,1
419270583,0,1,0,0
419270792,0,1,0,1
419270833,0,1,0,0
419271042,0,1,0,1
419271083,0,1,0,0
419271292,0,1,0,1
419271333,0,1,0,0
419271458,0,1,0,1
419271542,0,1,0,0
419271958,1,1,0,0
419279000,0,1,0,0
419280542,0,1,0,1
419280583,0,1,0,0
419280792,0,1,0,1
419280833,0,1,0,0
419281042,0,1,0,1
419281083,0,1,0,0
419281292,0,1,0,1
419281333,0,1,0,0
419281542,0,1,0,1
419281583,0,1,0,0
419281792,0,1,0,1
419281833,0,1,0,0
419282042,0,1,0,1
419282083,0,1,0,0
419282292,0,1,0,1
419282333,0,1,0,0
419282542,0,1,0,1
419282583,0,1,0,0
419282792,0,1,0,1
419282833,0,1,0,0
419283042,0,1,0,1
419283083,0,1,0,0
419283292,0,1,0,1
419283333,0,1,0,0
419283542,0,1,0,1
419283583,0,1,0,0
419283792,0,1,0,1
419283833,0,1,0,0
419284042,0,1,0,1
419284083,0,1,0,0
419284292,0,1,0,1
419284333,0,1,0,0
419284542,0,1,0,1
419284583,0,1,0,0
419284792,0,1,0,1
419284833,0,1,0,0
419285042,0,1,0,1
419285083,0,1,0,0
419285292,0,1,0,1
419285333,0,1,0,0
419285542,0,1,0,1
419285583,0,1,0,0
419285792,0,1,0,1
419285833,0,1,0,0
419286042,0,1,0,1
419286083,0,1,0,0
419286292,0,1,0,1
419286333,0,1,0,0
419286542,0,1,0,1
419286583,0,1,0,0
419286792,0,1,0,1
419286833,0,1,0,0
419287042,0,1,0,1
419287083,0,1,0,0
419287292,0,1,0,1
419287333,0,1,0,0
419287542,0,1,0,1
419287583,0,1,0,0
419287792,0,1,0,1
419287833,0,1,0,0
419288042,0,1,0,1
419288083,0,1,0,0
419288292,0,1,0,1
419288333,0,1,0,0
419288542,0,1,0,1
419288583,0,1,0,0
419288792,0,1,0,1
419288833,0,1,0,0
419289042,0,1,0,1
419289083,0,1,0,0
419289292,0,1,0,1
419289333,0,1,0,0
419289542,0,1,0,1
419289583,0,1,0,0
419289792,0,1,0,1
419289833,0,1,0,0
419290042,0,1,0,1
419290083,0,1,0,0
419290292,0,1,0,1
419290333,0,1,0,0
419290542,0,1,0,1
419290583,0,1,0,0
419290792,0,1,0,1
419290833,0,1,0,0
419291042,0,1,0,1
419291083,0,1,0,0
419291292,0,1,0,1
419291333,0,1,0,0
