Time [s],HSYNC,VSYNC,INTENSITY,VIDEO
249141792,0,1,0,0
249187792,1,1,0,0
249194792,0,1,0,0
249241750,1,1,0,0
249248792,0,1,0,0
249295750,1,1,0,0
249302792,0,1,0,0
249349750,1,1,0,0
249356750,0,1,0,0
249403750,1,1,0,0
249410750,0,1,0,0
249457750,1,1,0,0
249464750,0,1,0,0
249511750,1,1,0,0
249518750,0,1,0,0
249565708,1,1,0,0
249572750,0,1,0,0
249619708,1,1,0,0
249626708,0,1,0,0
249673708,1,1,0,0
249680708,0,1,0,0
249727708,1,1,0,0
249734708,0,1,0,0
249781708,1,1,0,0
249788708,0,1,0,0
249835667,1,1,0,0
249842708,0,1,0,0
249889667,1,1,0,0
249896708,0,1,0,0
249943667,1,1,0,0
249950667,0,1,0,0
249997667,1,1,0,0
250004667,0,1,0,0
250051667,1,1,0,0
250058667,0,1,0,0
250105667,1,1,0,0
250112667,0,1,0,0
250159625,1,1,0,0
250166667,0,1,0,0
250213625,1,1,0,0
250220625,0,1,0,0
250267625,1,1,0,0
250274625,0,1,0,0
250321625,1,1,0,0
250328625,0,1,0,0
250336417,0,1,0,1
250336500,0,1,0,0
250336667,0,1,0,1
250336750,0,1,0,0
250337042,0,1,0,1
250337125,0,1,0,0
250344542,0,1,0,1
250344625,0,1,0,0
250344792,0,1,0,1
250344875,0,1,0,0
250344917,0,1,0,1
250345042,0,1,0,0
250345083,0,1,0,1
250345167,0,1,0,0
250346292,0,1,0,1
250346375,0,1,0,0
250346542,0,1,0,1
250346625,0,1,0,0
250346792,0,1,0,1
250346875,0,1,0,0
250347042,0,1,0,1
250347125,0,1,0,0
250347292,0,1,0,1
250347375,0,1,0,0
250347542,0,1,0,1
250347625,0,1,0,0
250347792,0,1,0,1
250347875,0,1,0,0
250348042,0,1,0,1
250348125,0,1,0,0
250348292,0,1,0,1
250348375,0,1,0,0
250348542,0,1,0,1
250348625,0,1,0,0
250348792,0,1,0,1
250348833,0,1,0,0
250349042,0,1,0,1
250349083,0,1,0,0
250349292,0,1,0,1
250349333,0,1,0,0
250349542,0,1,0,1
250349583,0,1,0,0
250349792,0,1,0,1
250349833,0,1,0,0
250350042,0,1,0,1
250350083,0,1,0,0
250350292,0,1,0,1
250350333,0,1,0,0
250350542,0,1,0,1
250350583,0,1,0,0
250350792,0,1,0,1
250350833,0,1,0,0
250351042,0,1,0,1
250351083,0,1,0,0
250351292,0,1,0,1
250351333,0,1,0,0
250351542,0,1,0,1
250351583,0,1,0,0
250352042,0,1,0,1
250352083,0,1,0,0
250352292,0,1,0,1
250352333,0,1,0,0
250352542,0,1,0,1
250352583,0,1,0,0
250352792,0,1,0,1
250352833,0,1,0,0
250353042,0,1,0,1
250353083,0,1,0,0
250353292,0,1,0,1
250353333,0,1,0,0
250353542,0,1,0,1
250353583,0,1,0,0
250353792,0,1,0,1
250353833,0,1,0,0
250354042,0,1,0,1
250354083,0,1,0,0
250354292,0,1,0,1
250354333,0,1,0,0
250354542,0,1,0,1
250354583,0,1,0,0
250354792,0,1,0,1
250354833,0,1,0,0
250355042,0,1,0,1
250355083,0,1,0,0
250355292,0,1,0,1
250355333,0,1,0,0
250355542,0,1,0,1
250355583,0,1,0,0
250355792,0,1,0,1
250355833,0,1,0,0
250356042,0,1,0,1
250356083,0,1,0,0
250356292,0,1,0,1
250356333,0,1,0,0
250356542,0,1,0,1
250356583,0,1,0,0
250356792,0,1,0,1
250356833,0,1,0,0
