Time [s],HSYNC,VSYNC,INTENSITY,VIDEO
943723458,0,1,0,0
943769458,1,1,0,0
943776458,0,1,0,0
943823458,1,1,0,0
943830458,0,1,0,0
943877458,1,1,0,0
943884458,0,1,0,0
943931417,1,1,0,0
943938458,0,1,0,0
943985417,1,1,0,0
943992458,0,1,0,0
944039417,1,1,0,0
944046417,0,1,0,0
944093417,1,1,0,0
944100417,0,1,0,0
944147417,1,1,0,0
944154417,0,1,0,0
944201417,1,1,0,0
944208417,0,1,0,0
944255375,1,1,0,0
944262417,0,1,0,0
944309375,1,1,0,0
944316375,0,1,0,0
944363375,1,1,0,0
944370375,0,1,0,0
944417375,1,1,0,0
944424375,0,1,0,0
944471375,1,1,0,0
944478375,0,1,0,0
944525333,1,1,0,0
944532375,0,1,0,0
944579333,1,1,0,0
944586333,0,1,0,0
944633333,1,1,0,0
944640333,0,1,0,0
944687333,1,1,0,0
944694333,0,1,0,0
944741333,1,1,0,0
944748333,0,1,0,0
944795333,1,1,0,0
944802333,0,1,0,0
944849292,1,1,0,0
944856333,0,1,0,0
944903292,1,1,0,0
944910292,0,1,0,0
944957292,1,1,0,0
944964292,0,1,0,0
945011292,1,1,0,0
945018292,0,1,0,0
945065292,1,1,0,0
945072292,0,1,0,0
945119250,1,1,0,0
945126292,0,1,0,0
945173250,1,1,0,0
945180250,0,1,0,0
945227250,1,1,0,0
945234250,0,1,0,0
945281250,1,1,0,0
945288250,0,1,0,0
945335250,1,1,0,0
945342250,0,1,0,0
945389208,1,1,0,0
945396250,0,1,0,0
945443208,1,1,0,0
945450250,0,1,0,0
945497208,1,1,0,0
945504208,0,1,0,0
945551208,1,1,0,0
945558208,0,1,0,0
945605208,1,1,0,0
945612208,0,1,0,0
945659208,1,1,0,0
945666208,0,1,0,0
945713167,1,1,0,0
945720208,0,1,0,0
945767167,1,1,0,0
945774167,0,1,0,0
945821167,1,1,0,0
945828167,0,1,0,0
945875167,1,1,0,0
945882167,0,1,0,0
945929167,1,1,0,0
945936167,0,1,0,0
945983125,1,1,0,0
945990167,0,1,0,0
946037125,1,1,0,0
946044167,0,1,0,0
946091125,1,1,0,0
946098125,0,1,0,0
946145125,1,1,0,0
946152125,0,1,0,0
946199125,1,1,0,0
946206125,0,1,0,0
946253125,1,1,0,0
946260125,0,1,0,0
946307083,1,1,0,0
946314125,0,1,0,0
946361083,1,1,0,0
946368083,0,1,0,0
946415083,1,1,0,0
946422083,0,1,0,0
946469083,1,1,0,0
946476083,0,1,0,0
946523083,1,1,0,0
946530083,0,1,0,0
946577042,1,1,0,0
946584083,0,1,0,0
946631042,1,1,0,0
946638042,0,1,0,0
946685042,1,1,0,0
946692042,0,1,0,0
946739042,1,1,0,0
946746042,0,1,0,0
946793042,1,1,0,0
946800042,0,1,0,0
946847042,1,1,0,0
946854042,0,1,0,0
946901000,1,1,0,0
946908042,0,1,0,0
946955000,1,1,0,0
946962000,0,1,0,0
947009000,1,1,0,0
947016000,0,1,0,0
947063000,1,1,0,0
947070000,0,1,0,0
947117000,1,1,0,0
947124000,0,1,0,0
947170958,1,1,0,0
947178000,0,1,0,0
947224958,1,1,0,0
947231958,0,1,0,0
947278958,1,1,0,0
947285958,0,1,0,0
947332958,1,1,0,0
947339958,0,1,0,0
947386958,1,1,0,0
947393958,0,1,0,0
947440958,1,1,0,0
947447958,0,1,0,0
947494917,1,1,0,0
947501958,0,1,0,0
947548917,1,1,0,0
947555917,0,1,0,0
947602917,1,1,0,0
947609917,0,1,0,0
947656917,1,1,0,0
947663917,0,1,0,0
947710917,1,1,0,0
947717917,0,1,0,0
947764875,1,1,0,0
947771917,0,1,0,0
947818875,1,1,0,0
947825875,0,1,0,0
947872875,1,1,0,0
947879875,0,1,0,0
947926875,1,1,0,0
947933875,0,1,0,0
947980875,1,1,0,0
947987875,0,1,0,0
948034833,1,1,0,0
948041875,0,1,0,0
948045917,0,1,0,1
948049792,0,1,0,0
948049917,0,1,0,1
948053792,0,1,0,0
948053917,0,1,0,1
948057792,0,1,0,0
948057917,0,1,0,1
948061792,0,1,0,0
948061917,0,1,0,1
948065792,0,1,0,0
948065917,0,1,0,1
948069792,0,1,0,0
948069917,0,1,0,1
948073792,0,1,0,0
948073917,0,1,0,1
948077792,0,1,0,0
948077917,0,1,0,1
948081792,0,1,0,0
948081875,0,1,0,1
948085792,0,1,0,0
948088833,1,1,0,0
948095875,0,1,0,0
948099875,0,1,0,1
948100167,0,1,0,0
948100208,0,1,0,1
948100417,0,1,0,0
948100458,0,1,0,1
948100667,0,1,0,0
948100708,0,1,0,1
948100917,0,1,0,0
948100958,0,1,0,1
948101167,0,1,0,0
948101208,0,1,0,1
948101417,0,1,0,0
948101458,0,1,0,1
948101667,0,1,0,0
948101708,0,1,0,1
948101917,0,1,0,0
948101958,0,1,0,1
948102167,0,1,0,0
948102208,0,1,0,1
948102417,0,1,0,0
948102458,0,1,0,1
948102667,0,1,0,0
948102708,0,1,0,1
948102917,0,1,0,0
948102958,0,1,0,1
948103167,0,1,0,0
948103208,0,1,0,1
948103417,0,1,0,0
948103458,0,1,0,1
948103667,0,1,0,0
948103708,0,1,0,1
948103792,0,1,0,0
948103875,0,1,0,1
948104167,0,1,0,0
948104208,0,1,0,1
948104417,0,1,0,0
948104458,0,1,0,1
948104667,0,1,0,0
948104708,0,1,0,1
948104917,0,1,0,0
948104958,0,1,0,1
948105167,0,1,0,0
948105208,0,1,0,1
948105417,0,1,0,0
948105458,0,1,0,1
948105667,0,1,0,0
948105708,0,1,0,1
948105917,0,1,0,0
948105958,0,1,0,1
948106167,0,1,0,0
948106208,0,1,0,1
948106417,0,1,0,0
948106458,0,1,0,1
948106667,0,1,0,0
948106708,0,1,0,1
948106917,0,1,0,0
948106958,0,1,0,1
948107167,0,1,0,0
948107208,0,1,0,1
948107417,0,1,0,0
948107458,0,1,0,1
948107667,0,1,0,0
948107708,0,1,0,1
948107792,0,1,0,0
948107875,0,1,0,1
948108167,0,1,0,0
948108208,0,1,0,1
948108417,0,1,0,0
948108458,0,1,0,1
948108667,0,1,0,0
948108708,0,1,0,1
948108917,0,1,0,0
948108958,0,1,0,1
948109167,0,1,0,0
948109208,0,1,0,1
948109417,0,1,0,0
948109458,0,1,0,1
948109667,0,1,0,0
948109708,0,1,0,1
948109917,0,1,0,0
948109958,0,1,0,1
948110167,0,1,0,0
948110208,0,1,0,1
948110417,0,1,0,0
948110458,0,1,0,1
948110667,0,1,0,0
948110708,0,1,0,1
948110917,0,1,0,0
948110958,0,1,0,1
948111167,0,1,0,0
948111208,0,1,0,1
948111417,0,1,0,0
948111458,0,1,0,1
948111667,0,1,0,0
948111708,0,1,0,1
948111792,0,1,0,0
948111875,0,1,0,1
948112167,0,1,0,0
948112208,0,1,0,1
948112417,0,1,0,0
948112458,0,1,0,1
948112667,0,1,0,0
948112708,0,1,0,1
948112917,0,1,0,0
948112958,0,1,0,1
948113167,0,1,0,0
948113208,0,1,0,1
948113417,0,1,0,0
948113458,0,1,0,1
948113667,0,1,0,0
948113708,0,1,0,1
948113917,0,1,0,0
948113958,0,1,0,1
948114167,0,1,0,0
948114208,0,1,0,1
948114417,0,1,0,0
948114458,0,1,0,1
948114667,0,1,0,0
948114708,0,1,0,1
948114917,0,1,0,0
948114958,0,1,0,1
948115167,0,1,0,0
948115208,0,1,0,1
948115417,0,1,0,0
948115458,0,1,0,1
948115667,0,1,0,0
948115708,0,1,0,1
948115792,0,1,0,0
948115875,0,1,0,1
948116167,0,1,0,0
948116208,0,1,0,1
948116417,0,1,0,0
948116458,0,1,0,1
948116667,0,1,0,0
948116708,0,1,0,1
948116917,0,1,0,0
948116958,0,1,0,1
948117167,0,1,0,0
948117208,0,1,0,1
948117417,0,1,0,0
948117458,0,1,0,1
948117667,0,1,0,0
948117708,0,1,0,1
948117917,0,1,0,0
948117958,0,1,0,1
948118167,0,1,0,0
948118208,0,1,0,1
948118417,0,1,0,0
948118458,0,1,0,1
948118667,0,1,0,0
948118708,0,1,0,1
948118917,0,1,0,0
948118958,0,1,0,1
948119167,0,1,0,0
948119208,0,1,0,1
948119417,0,1,0,0
948119458,0,1,0,1
948119625,0,1,0,0
948119708,0,1,0,1
948119792,0,1,0,0
948119875,0,1,0,1
948120167,0,1,0,0
948120208,0,1,0,1
948120417,0,1,0,0
948120458,0,1,0,1
948120625,0,1,0,0
948120708,0,1,0,1
948120917,0,1,0,0
948120958,0,1,0,1
948121167,0,1,0,0
948121208,0,1,0,1
948121417,0,1,0,0
948121458,0,1,0,1
948121625,0,1,0,0
948121708,0,1,0,1
948121917,0,1,0,0
948121958,0,1,0,1
948122125,0,1,0,0
948122208,0,1,0,1
948122417,0,1,0,0
948122458,0,1,0,1
948122625,0,1,0,0
948122708,0,1,0,1
948122917,0,1,0,0
948122958,0,1,0,1
948123125,0,1,0,0
948123208,0,1,0,1
948123417,0,1,0,0
948123458,0,1,0,1
948123625,0,1,0,0
948123708,0,1,0,1
948123750,0,1,0,0
948123875,0,1,0,1
948124125,0,1,0,0
948124208,0,1,0,1
948124375,0,1,0,0
948124458,0,1,0,1
948124625,0,1,0,0
948124708,0,1,0,1
948124875,0,1,0,0
948124958,0,1,0,1
948125125,0,1,0,0
948125208,0,1,0,1
948125375,0,1,0,0
948125458,0,1,0,1
948125625,0,1,0,0
948125708,0,1,0,1
948125875,0,1,0,0
948125958,0,1,0,1
948126125,0,1,0,0
948126208,0,1,0,1
948126375,0,1,0,0
948126458,0,1,0,1
948126625,0,1,0,0
948126708,0,1,0,1
948126875,0,1,0,0
948126958,0,1,0,1
948127125,0,1,0,0
948127208,0,1,0,1
948127375,0,1,0,0
948127458,0,1,0,1
948127625,0,1,0,0
948127708,0,1,0,1
948127750,0,1,0,0
948127875,0,1,0,1
948128125,0,1,0,0
948128208,0,1,0,1
948128375,0,1,0,0
948128458,0,1,0,1
948128625,0,1,0,0
948128708,0,1,0,1
948128875,0,1,0,0
948128958,0,1,0,1
948129125,0,1,0,0
948129208,0,1,0,1
948129375,0,1,0,0
948129458,0,1,0,1
948129625,0,1,0,0
948129708,0,1,0,1
948129875,0,1,0,0
948129958,0,1,0,1
948130125,0,1,0,0
948130208,0,1,0,1
948130375,0,1,0,0
948130458,0,1,0,1
948130625,0,1,0,0
948130708,0,1,0,1
948130875,0,1,0,0
948130958,0,1,0,1
948131125,0,1,0,0
948131208,0,1,0,1
948131375,0,1,0,0
948131458,0,1,0,1
948131625,0,1,0,0
948131708,0,1,0,1
948131750,0,1,0,0
948131875,0,1,0,1
948132125,0,1,0,0
948132208,0,1,0,1
948132375,0,1,0,0
948132458,0,1,0,1
948132625,0,1,0,0
948132708,0,1,0,1
948132875,0,1,0,0
948132958,0,1,0,1
948133125,0,1,0,0
948133208,0,1,0,1
948133375,0,1,0,0
948133458,0,1,0,1
948133625,0,1,0,0
948133708,0,1,0,1
948133875,0,1,0,0
948133958,0,1,0,1
948134125,0,1,0,0
948134208,0,1,0,1
948134375,0,1,0,0
948134458,0,1,0,1
948134625,0,1,0,0
948134708,0,1,0,1
948134875,0,1,0,0
948134958,0,1,0,1
948135125,0,1,0,0
948135208,0,1,0,1
948135375,0,1,0,0
948135458,0,1,0,1
948135625,0,1,0,0
948135708,0,1,0,1
948135750,0,1,0,0
